SampleID,Train_Group,train,Project,Domain,R01B_label,DANN_score
S86,1,training,KBK4,1,Other,0.23879537
S87,0,validation,KAG9,0,Other,0.23785965
S88,1,testing,R01B,1,Other,0.30753225
S89,1,testing,R01B,1,Other,0.21007565
S90,1,testing,R01B,1,Other,0.41646197
S91,0,validation,KAG9,0,Other,0.28522512
S92,1,testing,R01B,1,Other,0.21201895
S93,1,testing,R01B,1,Other,0.17382109
S94,1,testing,R01B,1,Other,0.3392698
S95,1,testing,R01B,1,Other,0.22076042
S96,1,testing,R01B,1,Other,0.32433537
S97,1,testing,R01B,1,Other,0.40604386
S98,1,testing,R01B,1,Other,0.45035815
S99,1,testing,R01B,1,Other,0.34409106
S100,1,testing,R01B,1,Other,0.18896149
S101,1,testing,R01B,1,R01B_match,0.27320525
S102,1,testing,R01B,1,R01B_match,0.2820108
S103,1,testing,R01B,1,R01B_match,0.60073173
S104,1,testing,R01B,1,R01B_match,0.4886434
S105,1,testing,R01B,1,R01B_match,0.47721896
S106,1,testing,R01B,1,R01B_match,0.30985594
S107,1,testing,R01B,1,R01B_match,0.28665027
S108,1,testing,R01B,1,R01B_match,0.70706993
S109,1,testing,R01B,1,R01B_match,0.6192616
S110,1,testing,R01B,1,R01B_match,0.24565822
S111,1,testing,R01B,1,R01B_match,0.32057798
S112,1,testing,R01B,1,R01B_match,0.617405
S113,1,testing,R01B,1,R01B_match,0.24454395
S114,1,testing,R01B,1,R01B_match,0.31914148
S115,1,testing,R01B,1,R01B_match,0.2847488
S116,1,testing,R01B,1,R01B_match,0.5464183
S117,1,testing,R01B,1,R01B_match,0.35602608
S118,1,testing,R01B,1,R01B_match,0.24827349
S119,1,testing,R01B,1,R01B_match,0.31281796
S120,1,testing,R01B,1,R01B_match,0.2625804
S121,1,testing,R01B,1,R01B_match,0.2679071
S122,1,testing,R01B,1,R01B_match,0.25045052
S123,1,testing,R01B,1,R01B_match,0.2640408
S124,1,training,KBK4,1,Other,0.4907815
S125,1,testing,R01B,1,R01B_match,0.21931955
S126,1,testing,R01B,1,R01B_match,0.25903502
S127,1,testing,R01B,1,R01B_match,0.69532233
S128,1,testing,R01B,1,R01B_match,0.30923787
S129,1,testing,R01B,1,R01B_match,0.2083855
S130,1,testing,R01B,1,R01B_match,0.28173193
S131,1,testing,R01B,1,R01B_match,0.26858315
S132,1,testing,R01B,1,R01B_match,0.2526501
S133,1,testing,R01B,1,R01B_match,0.33754405
S134,1,testing,R01B,1,R01B_match,0.40984103
S135,1,testing,R01B,1,R01B_match,0.22843882
S136,1,testing,R01B,1,R01B_match,0.18686149
S137,1,testing,R01B,1,R01B_match,0.22192338
S138,1,testing,R01B,1,R01B_match,0.44918612
S139,1,testing,R01B,1,R01B_match,0.25738424
S140,1,testing,R01B,1,R01B_match,0.19985856
S141,1,testing,R01B,1,R01B_match,0.39086807
S142,1,testing,R01B,1,R01B_match,0.22889769
S143,1,testing,R01B,1,R01B_match,0.43958446
S144,1,testing,R01B,1,Other,0.34579983
S145,1,testing,R01B,1,Other,0.5478939
S146,1,testing,R01B,1,Other,0.31959045
S147,1,testing,R01B,1,Other,0.37598613
S148,1,testing,R01B,1,Other,0.3107757
S149,0,validation,KAG9,0,Other,0.27333498
S150,0,validation,KAG9,0,Other,0.3296164
S151,0,validation,KAG9,0,Other,0.24925342
S152,0,validation,KAG9,0,Other,0.20891175
S153,0,validation,KAG9,0,Other,0.21589395
S154,1,testing,R01B,1,Other,0.26758346
S155,0,validation,KAG9,0,Other,0.28260538
S156,0,validation,KAG9,0,Other,0.28440478
S157,1,testing,R01B,1,Other,0.29201525
S158,0,validation,KAG9,0,Other,0.19567966
S159,0,validation,KAG9,0,Other,0.30492488
S160,0,validation,KAG9,0,Other,0.3027709
S161,0,validation,KAG9,0,Other,0.24782738
S162,0,validation,KAG9,0,Other,0.19891669
S163,0,validation,KAG9,0,Other,0.28480905
S164,0,validation,KZ33,1,Other,0.28105402
S165,1,testing,R01B,1,Other,0.4009842
S166,0,validation,KAG9,0,Other,0.34294817
S167,0,validation,KAG9,0,Other,0.27892545
S168,1,testing,R01B,1,Other,0.4670035
S169,0,validation,KAG9,0,Other,0.2117328
S170,0,validation,KAG9,0,Other,0.28641707
S171,0,validation,KAG9,0,Other,0.22867212
S172,0,validation,KAG9,0,Other,0.2963609
S173,0,validation,KAG9,0,Other,0.45185304
S174,0,validation,KAG9,0,Other,0.2520093
S175,0,validation,KAG9,0,Other,0.21641193
S176,0,validation,KAG9,0,Other,0.37083632
S177,0,validation,KZ33,1,Other,0.23959582
S178,0,validation,KAG9,0,Other,0.17908025
S179,0,validation,KAG9,0,Other,0.39453572
S180,1,testing,R01B,1,Other,0.31463438
S181,0,validation,KAG9,0,Other,0.2759669
S182,1,testing,R01B,1,Other,0.23930672
S183,0,validation,KAG9,0,Other,0.26693758
S184,0,validation,KAG9,0,Other,0.40774718
S185,0,validation,KAG9,0,Other,0.20921996
S186,0,validation,KAG9,0,Other,0.27771524
S187,0,validation,KAG9,0,Other,0.24692915
S188,0,validation,KAG9,0,Other,0.4604462
S189,0,validation,KAG9,0,Other,0.26063696
S190,0,validation,KZ33,1,Other,0.2426085
S191,0,validation,KAG9,0,Other,0.22088751
S192,0,validation,KAG9,0,Other,0.69291806
S193,0,validation,KAG9,0,Other,0.28243628
S194,0,validation,KAG9,0,Other,0.42077807
S195,0,validation,KAG9,0,Other,0.3077876
S196,0,validation,KAG9,0,Other,0.63502777
S197,0,validation,KAG9,0,Other,0.3240696
S198,0,validation,KAG9,0,Other,0.4907452
S199,0,validation,KZ33,1,Other,0.31641367
S200,0,validation,KAG9,0,Other,0.33521742
S201,0,validation,KAG9,0,Other,0.2186694
S202,0,validation,KAG9,0,Other,0.23052064
S203,0,validation,KZ33,1,Other,0.27006713
S204,0,validation,KAG9,0,Other,0.2686558
S205,0,validation,KAG9,0,Other,0.38566136
S206,0,validation,KAG9,0,Other,0.24343818
S207,0,validation,KZ33,1,Other,0.23580828
S208,1,testing,R01B,1,Other,0.3003188
S209,0,validation,KZ33,1,Other,0.29366648
S210,0,validation,KZ33,1,Other,0.32576647
S211,0,validation,KAG9,0,Other,0.39074174
S212,0,validation,KAG9,0,Other,0.25809634
S213,0,validation,KAG9,0,Other,0.3034489
S214,0,validation,KAG9,0,Other,0.40647006
S215,0,validation,KZ33,1,Other,0.21312417
S216,0,validation,KAG9,0,Other,0.6164063
S217,1,testing,R01B,1,Other,0.22913401
S218,0,training,KAG9,0,Other,0.27002186
S219,0,validation,KAG9,0,Other,0.30643582
S220,1,testing,R01B,1,Other,0.6503471
S221,0,validation,KAG9,0,Other,0.30308187
S222,0,training,KZ33,1,Other,0.23706834
S223,0,training,KAG9,0,Other,0.2513096
S224,0,training,KAG9,0,Other,0.31176868
S225,0,validation,KAG9,0,Other,0.23064636
S226,0,validation,KAG9,0,Other,0.26682857
S227,0,training,KZ33,1,Other,0.28804287
S228,0,training,KZ33,1,Other,0.2536276
S229,0,training,KZ33,1,Other,0.2182887
S230,0,training,KZ33,1,Other,0.20978585
S231,0,training,KZ33,1,Other,0.19173655
S232,1,testing,R01B,1,Other,0.20610078
S233,0,validation,KAG9,0,Other,0.22640726
S234,0,training,KZ33,1,Other,0.2336468
S235,0,validation,KAG9,0,Other,0.31034532
S236,0,validation,KAG9,0,Other,0.28577563
S237,0,validation,KAG9,0,Other,0.42694154
S238,1,testing,R01B,1,Other,0.17889316
S239,1,testing,R01B,1,Other,0.25599906
S240,0,training,KZ33,1,Other,0.39928436
S241,0,training,KZ33,1,Other,0.27316707
S242,0,training,KZ33,1,Other,0.31882572
S243,0,training,KZ33,1,Other,0.25003663
S244,0,training,KZ33,1,Other,0.23928677
S245,0,training,KZ33,1,Other,0.2877959
S246,0,training,KZ33,1,Other,0.23651035
S247,0,training,KZ33,1,Other,0.35187617
S248,0,training,KZ33,1,Other,0.2567894
S249,0,training,KZ33,1,Other,0.28234982
S250,0,training,KZ33,1,Other,0.2039027
S251,0,training,KZ33,1,Other,0.20756114
S252,0,training,KAG9,0,Other,0.23488212
S253,0,training,KAG9,0,Other,0.17776537
S254,0,training,KZ33,1,Other,0.25975752
S255,0,training,KC01,1,Other,0.324223
S256,0,training,KAG9,0,Other,0.22367427
S257,0,training,KC01,1,Other,0.3306062
S258,0,training,KAG9,0,Other,0.19716923
S259,0,training,KAG9,0,Other,0.17950566
S260,0,validation,KZ33,1,Other,0.30700815
S261,0,training,KBEK,1,Other,0.1733097
S262,0,training,KZ33,1,Other,0.22120234
S263,0,training,KAG9,0,Other,0.2202931
S264,0,training,KZ33,1,Other,0.18829012
S265,0,training,KAG9,0,Other,0.2046289
S266,0,training,KAG9,0,Other,0.21151729
S267,0,training,KBEK,1,Other,0.19780283
S268,0,training,20240218_MCMS_T7_HealthyBaseline,1,Other,0.22671919
S269,0,training,KZ33,1,Other,0.35240668
S270,0,training,KBEK,1,Other,0.27260283
S271,0,training,KAG9,0,Other,0.20316346
S272,0,training,20240218_MCMS_T7_HealthyBaseline,1,Other,0.2395685
S273,0,training,20240218_MCMS_T7_HealthyBaseline,1,Other,0.2215965
S274,0,training,KBEK,1,Other,0.22283709
S275,0,training,20240218_MCMS_T7_HealthyBaseline,1,Other,0.18187617
S276,0,training,20240218_MCMS_T7_HealthyBaseline,1,Other,0.23646647
S277,0,training,KZ33,1,Other,0.25704554
S278,0,training,KBEK,1,Other,0.2731312
S279,0,training,KBEK,1,Other,0.19145656
S280,0,training,20240218_MCMS_T7_HealthyBaseline,1,Other,0.20264645
S281,0,training,KZ33,1,Other,0.17875557
S282,0,training,KBEK,1,Other,0.18990508
S283,0,training,KBEK,1,Other,0.20319511
S284,0,training,KBEK,1,Other,0.17966479
S285,0,training,KAG9,0,Other,0.16066739
S286,0,training,KZ33,1,Other,0.29854015
S287,0,training,KZ33,1,Other,0.2812589
S288,0,training,KAG9,0,Other,0.19042574
S289,0,training,KAG9,0,Other,0.21105438
S290,0,validation,KZ33,1,Other,0.39705732
S291,0,validation,KBEK,1,Other,0.24813792
S292,0,validation,KAG9,0,Other,0.30915412
S293,0,training,KZ33,1,Other,0.26869315
S294,0,validation,KAG9,0,Other,0.95687723
S295,0,validation,KBEK,1,Other,0.28049788
S296,0,validation,KBEK,1,Other,0.22122113
S297,0,validation,KBEK,1,Other,0.23679182
S298,0,validation,KBEK,1,Other,0.1952222
S299,0,validation,KBEK,1,Other,0.25773332
S300,0,validation,KBEK,1,Other,0.25533494
